DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
M,us/ft,gAPI,ohm.m,B/E,g/cm3,m3/m3,
2986.583,82.155,35.367,2.188,3.939,2.463,0.157,9
2986.735,81.087,34.769,1.993,3.842,2.454,0.16,9
2986.888,81.654,34.418,1.819,3.818,2.442,0.162,9
2987.04,82.073,36.324,1.83,3.851,2.434,0.155,9
2987.192,80.481,39.509,1.969,3.912,2.432,0.155,9
2987.345,80.166,39.933,2.003,3.933,2.441,0.158,9
2987.497,78.899,35.915,1.988,3.902,2.456,0.167,9
2987.65,79.173,36.948,2.01,3.869,2.461,0.168,9
2987.802,79.595,38.555,2.19,3.871,2.457,0.167,9
2987.954,80.249,40.538,2.218,3.898,2.45,0.164,9
2988.107,80.818,42.865,2.133,3.932,2.448,0.163,9
2988.259,80.524,43.603,1.972,3.943,2.452,0.164,9
2988.412,80.384,45.646,1.745,3.925,2.462,0.168,9
2988.564,80.013,42.629,1.756,3.894,2.466,0.167,9
2988.716,82.154,40.802,2.157,3.854,2.463,0.165,9
2988.869,81.331,40.253,2.338,3.85,2.455,0.163,9
2989.021,81.869,41.146,2.057,3.847,2.454,0.166,9
2989.174,84.739,42.077,1.881,3.851,2.463,0.167,9
2989.326,85.209,46.105,1.833,3.853,2.477,0.169,9
2989.478,85.76,46.321,1.667,3.858,2.484,0.171,9
2989.631,84.996,45.446,1.525,3.865,2.483,0.177,9
2989.783,82.7,44.351,1.607,3.88,2.482,0.179,9
2989.936,79.612,44.652,1.93,3.947,2.487,0.168,9
2990.088,78.678,42.79,2.399,4.061,2.496,0.159,9
2990.24,78.354,41.311,2.694,4.176,2.507,0.157,9
2990.393,81.161,41.697,3.036,4.276,2.517,0.178,9
2990.545,81.318,48.492,2.944,4.316,2.53,0.185,9
2990.698,86.526,56.443,2.259,4.257,2.538,0.199,9
2990.85,91.424,63.444,1.604,4.152,2.53,0.218,9
2991.002,101,66.589,1.191,4.016,2.509,0.237,9
2991.155,105.071,69.269,1.009,3.899,2.485,0.278,9
2991.307,106.102,71.946,0.969,3.763,2.473,0.266,9
2991.46,107.024,75.976,1.018,3.675,2.461,0.28,9
2991.612,110.128,84.452,1,3.642,2.436,0.298,9
2991.764,112.407,93.376,0.876,3.559,2.407,0.315,9
2991.917,116.524,103.9,0.742,3.362,2.39,0.331,9
2992.069,119.252,107.771,0.677,3.157,2.372,0.362,9
2992.222,122.488,114.511,0.609,3.026,2.342,0.386,9
2992.374,124.161,115.352,0.564,3.01,2.318,0.41,9
2992.526,125.019,117.191,0.551,3.079,2.296,0.416,9
2992.679,124.232,117.092,0.561,3.183,2.248,0.407,9
2992.831,125.114,133.04,0.569,3.199,2.172,0.38,9
2992.984,124.279,143.486,0.57,3.053,2.167,0.378,9
2993.136,121.257,140.342,0.583,2.897,2.233,0.399,9
2993.288,122.107,138.496,0.582,2.877,2.283,0.42,9
2993.441,118.8,128.196,0.584,2.957,2.264,0.425,9
2993.593,118.926,125.521,0.596,3.006,2.226,0.413,9
2993.746,116.372,132.201,0.617,2.99,2.23,0.41,9
2993.898,118.995,132.685,0.641,2.975,2.241,0.425,9
2994.05,118.613,130.758,0.633,2.972,2.239,0.435,9
2994.203,117.639,127.261,0.627,2.953,2.259,0.412,9
2994.355,116.24,128.402,0.653,2.938,2.288,0.384,9
2994.508,115.869,128.071,0.669,2.924,2.326,0.368,9
2994.66,115.425,127.857,0.67,2.934,2.328,0.374,9
2994.812,115.859,123.928,0.648,2.918,2.338,0.39,9
2994.965,117.283,123.065,0.651,2.938,2.347,0.397,9
2995.117,114.698,123.092,0.657,2.979,2.354,0.403,9
2995.27,115.29,123.91,0.661,3.015,2.335,0.379,9
2995.422,115.179,119.193,0.651,2.991,2.306,0.37,9
2995.574,115.435,113.266,0.637,2.932,2.294,0.375,9
2995.727,114.175,110.249,0.663,2.909,2.319,0.392,9
2995.879,114.449,111.939,0.665,2.962,2.34,0.403,9
2996.032,114.114,118.31,0.664,3.085,2.34,0.432,9
2996.184,117.092,118.357,0.642,3.19,2.313,0.434,9
2996.336,115.912,122.987,0.674,3.239,2.306,0.433,9
2996.489,114.657,128.151,0.709,3.261,2.281,0.424,9
2996.641,114.584,129.907,0.658,3.276,2.244,0.44,9
2996.794,114.832,134.114,0.627,3.283,2.217,0.423,9
2996.946,114.038,136.768,0.623,3.269,2.252,0.414,9
2997.098,113.257,138.722,0.697,3.254,2.33,0.409,9
2997.251,108.365,136.187,0.76,3.333,2.387,0.407,9
2997.403,110.383,132.777,0.856,3.466,2.414,0.379,9
2997.556,110.316,130.222,0.924,3.62,2.418,0.363,9
2997.708,109.301,132.655,0.917,3.671,2.43,0.358,9
2997.86,112.026,134.544,0.837,3.633,2.437,0.386,9
2998.013,113.551,134.434,0.794,3.54,2.425,0.393,9
2998.165,113.435,134.771,0.795,3.434,2.386,0.37,9
2998.318,112.056,135.932,0.776,3.307,2.356,0.352,9
2998.47,111.754,132.245,0.781,3.225,2.357,0.355,9
2998.622,111.853,129.959,0.803,3.274,2.382,0.375,9
2998.775,111.89,128.372,0.811,3.494,2.407,0.383,9
2998.927,114.409,129.603,0.807,3.748,2.411,0.382,9
2999.08,115.046,127.099,0.818,3.893,2.403,0.367,9
2999.232,114.816,128.148,0.761,3.727,2.386,0.361,9
2999.384,115.783,133.115,0.692,3.416,2.378,0.375,9
2999.537,116.8,138.181,0.648,3.123,2.385,0.379,9
2999.689,116.366,141.154,0.705,3.048,2.393,0.38,9
2999.842,119.419,142.143,0.71,3.053,2.399,0.376,9
2999.994,118.091,137.243,0.709,3.054,2.383,0.387,9
3000.146,117.611,134.059,0.663,3.008,2.339,0.408,9
3000.299,117.849,134.414,0.652,2.95,2.28,0.41,9
3000.451,118.243,135.326,0.648,2.827,2.245,0.394,9
3000.604,118.341,138.228,0.66,2.682,2.268,0.401,9
3000.756,119.346,138.751,0.678,2.595,2.302,0.406,9
3000.908,117.436,137.921,0.662,2.576,2.313,0.393,9
3001.061,118.738,134.983,0.652,2.595,2.284,0.369,9
3001.213,119.73,137.993,0.636,2.576,2.256,0.382,9
3001.366,119.612,136.534,0.639,2.521,2.266,0.386,9
3001.518,120.043,135.633,0.629,2.474,2.287,0.391,9
3001.67,119.692,131.583,0.62,2.461,2.289,0.402,9
3001.823,119.89,132.656,0.615,2.462,2.263,0.394,9
3001.975,118.083,135.281,0.636,2.443,2.25,0.383,9
3002.128,118.975,136.714,0.669,2.41,2.274,0.392,9
3002.28,116.948,139.023,0.675,2.38,2.3,0.4,9
3002.432,116.974,139.553,0.672,2.347,2.322,0.401,9
3002.585,118.629,135.575,0.656,2.344,2.315,0.402,9
3002.737,119.27,130.393,0.633,2.405,2.31,0.394,9
3002.89,120.147,127.744,0.616,2.54,2.283,0.4,9
3003.042,119.176,131.417,0.608,2.654,2.28,0.408,9
3003.194,119.665,132.421,0.602,2.725,2.275,0.393,9
3003.347,120.517,131.956,0.624,2.737,2.277,0.387,9
3003.499,122.119,129.786,0.618,2.751,2.259,0.382,9
3003.652,122.851,129.479,0.589,2.771,2.24,0.387,9
3003.804,123.393,130.209,0.563,2.793,2.232,0.382,9
3003.956,122.427,134.657,0.577,2.81,2.24,0.367,9
3004.109,125.436,135.908,0.601,2.841,2.26,0.382,9
3004.261,124.956,138.849,0.599,2.912,2.269,0.393,9
3004.414,123.096,136.763,0.59,3.002,2.269,0.395,9
3004.566,124.041,136.11,0.571,3.091,2.265,0.396,9
3004.718,123.508,137.467,0.582,3.168,2.261,0.435,9
3004.871,122.941,138.495,0.588,3.208,2.262,0.443,9
3005.023,121.007,140.203,0.609,3.213,2.264,0.43,9
3005.176,122.383,142.706,0.629,3.181,2.28,0.403,9
3005.328,120.935,141.482,0.639,3.166,2.281,0.371,9
3005.48,121.105,141.759,0.66,3.14,2.293,0.379,9
3005.633,119.681,137.922,0.662,3.122,2.305,0.37,9
3005.785,119.197,138.279,0.656,3.111,2.308,0.383,9
3005.938,118.72,135.349,0.65,3.101,2.29,0.4,9
3006.09,118.685,137.012,0.656,3.1,2.27,0.362,9
3006.242,118.615,137.677,0.666,3.141,2.253,0.34,9
3006.395,120.738,138.742,0.658,3.214,2.237,0.339,9
3006.547,121.303,143.027,0.641,3.286,2.205,0.331,9
3006.7,120.575,138.731,0.62,3.288,2.21,0.336,9
3006.852,120.233,140.943,0.625,3.286,2.235,0.337,9
3007.004,119.823,146.849,0.65,3.307,2.264,0.343,9
3007.157,117.522,151.686,0.72,3.345,2.265,0.358,9
3007.309,115.747,152.165,0.765,3.364,2.269,0.359,9
3007.462,114.606,147.934,0.84,3.359,2.283,0.357,9
3007.614,113.99,139.407,0.889,3.364,2.312,0.345,9
3007.766,113.759,136.66,0.905,3.441,2.305,0.343,9
3007.919,114.49,135.581,0.88,3.539,2.251,0.365,9
3008.071,113.405,138.263,0.862,3.53,2.229,0.379,9
3008.224,113.717,139.705,0.924,3.4,2.261,0.386,9
3008.376,111.364,144.054,1.005,3.214,2.354,0.384,9
3008.528,110.228,142.417,1.003,3.144,2.401,0.389,9
3008.681,108.282,139.803,0.945,3.14,2.414,0.353,10
3008.833,Nan,138.684,0.914,3.16,2.418,0.334,10
3008.986,Nan,140.83,0.945,3.254,2.421,0.323,10
3009.138,Nan,142.889,0.929,3.405,2.432,0.323,10
3009.29,Nan,149.073,0.916,3.537,2.435,0.314,10
3009.443,Nan,146.018,0.905,3.57,2.439,0.314,10
3009.595,Nan,144.925,0.897,3.54,2.435,0.317,10
3009.748,Nan,142.971,0.865,3.54,2.427,0.324,10
3009.9,Nan,144.047,0.842,3.58,2.422,0.317,10
3010.052,Nan,145.285,0.844,3.62,2.418,0.337,10
3010.205,Nan,144.094,0.841,3.653,2.408,0.338,10
3010.357,Nan,141.691,0.826,3.593,2.404,0.329,10
3010.51,Nan,139.863,0.878,3.497,2.407,0.328,10
3010.662,Nan,137.398,0.956,3.402,2.424,0.331,10
3010.814,Nan,136.521,1.004,3.396,2.432,0.34,10
3010.967,Nan,134.146,0.912,3.421,2.418,0.344,10
3011.119,Nan,134.022,0.805,3.298,2.404,0.332,10
3011.272,Nan,136.805,0.794,3.112,2.405,0.329,10
3011.424,Nan,137.756,0.816,2.997,2.408,0.324,10
